stationId,usaf,wban,stationName,country,fipsCountry,state,callSign,lat,lon,elevation,begin,end
423630-99999,423630,99999,"MISSISSIPPI CANYON O",US,US,LA,42363,28.16,-89.22,37.0,20130901,20140313
690020-93218,690020,93218,"JOLON HUNTER LIGGETT MIL RES",US,US,CA,KHGT,36.0,-121.233,317.0,19640715,19970401
690070-93217,690070,93217,"FRITZSCHE AAF",US,US,CA,KOAR,36.683,-121.767,43.0,19600404,19930831
690079-99999,690079,99999,"MARINA MUNI",US,US,CA,KOAR,36.682,-121.762,42.0,,
690090-99999,690090,99999,"HURLBURT FLD/EXERCIS",US,US,FL,,30.433,-86.717,3.0,20081010,20100326
690110-99999,690110,99999,"SELFRIDGE ANGB/TRAIN",US,US,MI,,42.608,-82.835,177.0,19430614,19920507
690138-99999,690138,99999,"156WF/MOBILE",US,GM,NC,KQNC,,,None,,
690140-93101,690140,93101,"EL TORO MCAS",US,US,CA,KNZJ,33.667,-117.733,116.7,19890101,19990606
690150-93121,690150,93121,"TWENTYNINE PALMS",US,US,CA,KNXP,34.3,-116.167,695.9,19900102,20140313
690150-99999,690150,99999,"TWENTYNINE PALMS",US,US,CA,KNXP,34.3,-116.167,626.0,19891115,19891229
690169-99999,690169,99999,"TUSTIN MCAS",US,US,CA,KNTK,33.7,-117.833,17.0,,
690170-99999,690170,99999,"IND SPRNG RANGE 63",US,US,NV,KL63,36.533,-115.567,972.0,19800514,20110125
690174-99999,690174,99999,"INDIAN SPRINGS RANGE",US,US,NV,L63,36.533,-115.567,972.0,19780823,19800430
690190-13910,690190,13910,"ABILENE DYESS AFB",US,US,TX,KDYS,32.433,-99.85,545.3,19431201,20140313
690190-99999,690190,99999,"ABILENE DYESS AFB",US,US,TX,KDYS,32.433,-99.85,545.0,20000103,20041230
690200-99999,690200,99999,"GOVERNOR HYDE",US,US,NC,,35.25,-76.167,2.0,19800418,19810304
690210-99999,690210,99999,"ALLIGATOR BRIDGE",US,US,NC,,35.9,-76.0,2.0,19800418,19840929
690220-99999,690220,99999,"ALBEMARLE BRIDGE",US,US,NC,,35.983,-76.5,2.0,19800418,19840929
690230-24255,690230,24255,"WHIDBEY ISLAND NAS",US,US,WA,KNUW,48.35,-122.667,14.3,19891201,20090602
690240-99999,690240,99999,"PACIFIC BEACH",US,US,WA,KNIX,47.217,-124.2,18.0,19800603,19851031
690250-99999,690250,99999,"KITTY HAWK SCHOOL",US,US,NC,,36.1,-75.75,3.0,19800922,19810223
690260-99999,690260,99999,"CHEBOYGAN",US,US,MI,CYGM4,45.65,-84.467,176.0,19800611,20011023
690280-99999,690280,99999,"PORT ISABEL (CGS)",US,US,TX,K9R3,26.067,-97.167,5.0,19820627,19831116
690290-99999,690290,99999,"PORT ARANSAS",US,US,TX,,27.833,-97.067,2.0,19820625,20041129
690300-99999,690300,99999,"PORT O`CONNOR (CGS)",US,US,TX,K8R9,28.433,-96.433,3.0,19820625,20011003
690310-03125,690310,03125,"YUMA PROVING GROUND",US,US,AZ,,32.833,-114.4,98.8,19870701,19900420
690320-99999,690320,99999,"BLAINE HARBOR MUNI",US,US,WA,WA09,48.983,-122.733,21.0,19920416,19940303
690330-99999,690330,99999,"HOOD CANAL BRIDGE",US,US,OR,K4S2,45.667,-121.533,192.0,19910307,20080106
690500-99999,690500,99999,"FORT CHAFFEE",US,US,AR,KQCU,35.167,-94.2,143.0,19830119,20060720
690524-99999,690524,99999,"2 CWSS TMQ-53",US,US,FL,KQBL,30.417,-86.667,9.0,19910315,20140313
690584-99999,690584,99999,"BULL FARP",US,US,CA,KQCX,33.067,-115.017,230.0,19990602,20100513
690744-99999,690744,99999,"DAVIS-MONTHAN/EXERCI",US,US,AZ,KQDV,32.167,-110.883,824.0,,
690834-99999,690834,99999,"FT IRWIN/NTC/EXERCIS",US,US,CA,KQFI,35.283,-116.35,176.0,20120907,20121012
690924-99999,690924,99999,"MOODY AFB/EXERCISE",US,US,GA,KQMB,30.967,-83.2,71.0,19910209,20090321
690964-99999,690964,99999,"MCCHORD FIELD SOUTH",US,US,WA,KQMF,47.133,-122.483,98.0,19910217,20140122
690974-99999,690974,99999,"MCGREGOR RANGE BASE",US,US,NM,KQMG,32.067,-106.15,1283.0,19910312,20111213
691100-99999,691100,99999,"TACTS AIRFIELD/USMC",US,US,AZ,,32.5,-114.15,248.0,,
691164-99999,691164,99999,"REDSTONE ARSENAL",US,US,AL,,34.683,-86.683,209.0,19771026,20010323
691174-99999,691174,99999,"ABERDEEN PVNG GRND",US,US,MD,,39.467,-76.167,18.0,19361001,20030816
691224-99999,691224,99999,"AFWA ASSIGNED",US,US,CA,KQAM,,,None,19781028,20040730
691334-99999,691334,99999,"HILL/WENDOVER R GWC",US,US,UT,KQSL,41.05,-113.067,1299.0,19910521,20030816
691404-99999,691404,99999,"DATELAND",US,US,AZ,KQDA,32.732,-113.633,117.0,19850424,20100506
691414-99999,691414,99999,"SPEED BAG AIRFIELD",US,US,AZ,KQDB,33.267,-115.417,93.0,19850424,20121016
691474-99999,691474,99999,"MOLINELLI AHP TMOS",US,US,AL,KQDH,31.483,-85.783,149.0,19911204,20061020
691684-99999,691684,99999,"VICTORVILLE (ANG)",US,US,CA,KQKV,34.6,-117.383,876.0,19850303,20140313
691804-99999,691804,99999,"CAMP BLANDING",US,US,FL,KQLG,29.967,-81.983,59.0,19860119,20100430
692250-99999,692250,99999,"AFCWC PROFILER TEST",US,US,FL,,30.433,-86.7,9.0,,
692304-99999,692304,99999,"FT AP HILL/EXERCISE",US,US,VA,KQAP,38.1,-77.267,56.0,19791021,20120310
692364-99999,692364,99999,"FALLON NAS",US,US,NV,KQAV,39.417,-118.7,1199.0,19781027,20020501
692374-99999,692374,99999,"FORT BRAGG 1/EXERCIS",US,US,NC,KQAW,35.14,-78.95,40.0,19830809,20100217
692464-99999,692464,99999,"CAMP ROBERTS/EXERCIS",US,US,CA,KQCH,35.717,-120.767,272.0,19840403,20140305
692494-99999,692494,99999,"SUPERIOR VALLEY G R",US,US,CA,KQCK,35.333,-117.1,961.0,19950401,19991210
692504-99999,692504,99999,"AFWA ASSIGNED",US,US,NY,KQWS,,,None,19780105,20130909
692584-99999,692584,99999,"CREECH AFB TMOS-P",US,US,NV,KQCR,36.583,-115.667,955.0,19831201,20100923
692644-99999,692644,99999,"MUSCATATUCK TRNG CTR",US,US,IN,KQMT,39.05,-85.617,247.0,19970724,20130611
692694-99999,692694,99999,"FOB MIAMI NTC/EXERCI",US,US,CA,KQMY,35.283,-116.35,570.0,19910209,20120401
692704-99999,692704,99999,"MPRC-FT STEWART",US,US,GA,KQRC,32.033,-81.667,18.0,19850125,20091215
692754-99999,692754,99999,"2 CWSS TMQ-53",US,US,FL,KQRS,30.417,-86.667,9.0,19840922,20131211
692764-99999,692764,99999,"2 CWSS TMQ-53",US,US,FL,KQRT,30.417,-86.667,9.0,19840925,20140220
692784-99999,692784,99999,"KING SALMON",US,US,AK,KQRV,58.667,-156.65,14.0,19841127,20001205
692884-99999,692884,99999,"FOB MIAMI/NTC/EXERCI",US,US,CA,KQMZ,35.283,-116.35,581.0,19910209,19991124
693254-99999,693254,99999,"AFWA ASSIGNED",US,US,FL,KQHY,,,None,19830811,20140313
693804-99999,693804,99999,"GALENA",US,US,AK,KQRB,64.717,-156.917,49.0,20020413,20020413
694254-99999,694254,99999,"VALDEZ",US,US,AK,,61.133,-146.367,None,,
694300-99999,694300,99999,"EAGLE RANGE       &",US,US,UT,,41.05,-113.067,1292.0,19800423,19910626
695354-99999,695354,99999,"AFWA ASSIGNED",US,US,MS,KQNF,,,None,20020212,20050117
695364-99999,695364,99999,"AFWA ASSIGNED",US,US,VA,KQNG,,,None,20010627,20081015
695414-99999,695414,99999,"RED PASS LAKE / NTC",US,US,CA,KQNL,35.266,-116.367,663.0,20010319,20120731
695424-99999,695424,99999,"AFWA ASSIGNED",US,US,CA,KQNM,,,None,20011101,20020820
696134-99999,696134,99999,"JET TEST BASE 1",US,US,NM,KQJM,31.0,-112.0,610.0,19901201,20060427
696454-99999,696454,99999,"AUX 2 FARP",US,US,AZ,KQOS,32.549,-114.5,82.0,19840426,20120808
696464-99999,696464,99999,"TACTS AIRFIELD",US,US,AZ,KQOT,32.5,-114.15,248.0,19900809,20131026
697534-99999,697534,99999,"FORT IRWIN",US,US,CA,KQIW,35.283,-116.617,322.0,19850218,20080201
698114-99999,698114,99999,"METMFR 29 PALMS",US,US,CA,KQGY,34.3,-116.15,626.0,19840216,20100128
698324-99999,698324,99999,"BOGUE FIELD MCALF",US,US,NC,KQWT,34.683,-77.033,None,19960409,19960901
698414-99999,698414,99999,"319 MISSILE SQ",US,US,CO,KQXG,40.5,-103.833,1880.0,20010320,20010411
698424-99999,698424,99999,"FOXTROT FLT 320 MISS",US,US,NE,KQXH,41.367,-103.483,1453.0,,
698454-99999,698454,99999,"NOVEMBER FLT 321 MIS",US,US,NE,KQXK,40.633,-103.833,1459.0,,
699510-99999,699510,99999,"612 SPTS / TRAINING",US,US,AZ,KQ12,32.167,-110.883,826.0,,
699520-99999,699520,99999,"15 OWS / TRAINING",US,US,IL,KQ15,38.55,-89.85,138.0,,
699530-99999,699530,99999,"17 OWS / TRAINING",US,US,HI,KQ17,21.317,-157.933,4.0,,
699550-99999,699550,99999,"25 OWS / TRAINING",US,US,AZ,KQ25,32.167,-110.883,824.0,,
699560-99999,699560,99999,"26 OWS / TRAINING",US,US,LA,KQ26,32.5,-93.667,51.0,,
699570-99999,699570,99999,"28 OWS / TRAINING",US,US,SC,KQ28,33.967,-80.467,74.0,,
699604-03145,699604,03145,"YUMA MCAS",US,US,AZ,KNYL,32.65,-114.617,64.9,19870701,20140313
700001-26492,700001,26492,"PORTAGE GLACIER",US,US,AK,PATO,60.785,-148.839,31.4,20060101,20140313
700001-99999,700001,99999,"PORTAGE GLACIER",US,US,AK,PATO,60.783,-148.833,29.0,20040510,20051231
700197-26558,700197,26558,"SELAWIK",US,US,AK,PASK,66.6,-159.986,7.6,20060101,20140313
700197-99999,700197,99999,"SELAWIK",US,US,AK,PASK,66.617,-160.0,8.0,19940818,20051231
700260-27502,700260,27502,"BARROW/W. POST W. R",US,US,AK,PABR,71.283,-156.782,4.0,19201001,20140313
